Industry,"('OLS', 'likelihood')","('OLS', 'aic')","('OLS', 'bic')","('OLS', 'alpha')","('OLS', 'beta')","('OLS', 'sigma2')","('OLS', 'alpha_se')","('OLS', 'beta_se')","('HMM', 'convergence')","('HMM', 'likelihood')","('HMM', 'aic')","('HMM', 'bic')","('HMM', 'alpha_0')","('HMM', 'alpha_1')","('HMM', 'beta_0')","('HMM', 'beta_1')","('HMM', 'sigma2_0')","('HMM', 'sigma2_1')","('HMM', 'p00')","('HMM', 'p10')","('HMM', 'alpha_0_se')","('HMM', 'alpha_1_se')","('HMM', 'beta_0_se')","('HMM', 'beta_1_se')","('HMM', 'sigma2_0_se')","('HMM', 'sigma2_1_se')","('HMM', 'p00_se')","('HMM', 'p10_se')","('HMM', 'alpha_cov')","('HMM', 'beta_cov')","('HMM', 'sigma2_cov')","('HMM', 'prob_cov')","('HMM', 'prob_0')","('HMM', 'prob_1')","('HMM', 'mean_prob_0')","('HMM', 'mean_prob_1')"
Ships,1721.612897135286,-3439.225794270572,-3429.1979633209507,-0.0003314860936050913,1.1687865277388014,0.002651836235487923,0.0015560521032182745,0.02895978278401117,True,1844.1709958611027,-3672.3419917222054,-3632.2306679237213,0.003990711725274925,-0.0020742583816782396,1.2233585891689782,1.0836549664935216,0.005395479996161828,0.001101726926159847,0.9665493307557097,0.01792828660181356,0.004487436092169121,0.0017356706824233979,0.10389237595105189,0.11068697291220862,0.0008946173292237191,0.0001558791457992825,0.01269391238825652,0.007682029549583283,-8.298178972537308e-07,-0.008227318295834271,9.296622302540203e-08,-1.797724249549287e-05,0.3549188020598289,0.645081197940171,0.35431413426962327,0.645685865730378
Guns ,1003.750832503054,-2003.501665006108,-1994.4930886590346,0.0036133862395407025,0.8495393652464007,0.0029084919077445584,0.0021016984423816018,0.047509521768892345,True,1086.177525953246,-2156.355051906492,-2120.320746518199,0.0025929675962477034,0.0021245350207764213,1.0364022331517846,-0.4217355708769829,0.0019586807450028406,0.00737355623486161,0.9982444213113145,0.02027736509661574,0.0017557472634945745,0.0114874455319825,0.04611589434271198,0.2289367378884185,0.00013431229792013695,0.0015454144873101171,0.0020667646669400245,0.013994496323661966,2.62960805165775e-07,-0.0004004594520430747,2.4078108976018446e-09,-8.593924912028225e-06,0.9991301538175505,0.0008698461824495038,0.9107773669966667,0.08922263300333348
Gold ,582.413030316022,-1160.826060632044,-1151.8174842849705,0.002609849465808465,0.5816994300387714,0.01026895357991573,0.003949113063376898,0.08927088171589173,True,619.7794210349145,-1223.558842069829,-1187.524536681536,0.01624285528778004,-0.00034469410321173494,1.1091382536736318,0.2296680665604672,0.02037234582272317,0.006202766379491083,0.9248428665554598,0.024780306048594866,0.051819454835146356,0.010218493676639013,0.5444861380698708,0.27090011078416254,0.013196880051806264,0.002052905207542532,0.13481903942670997,0.013231440199255113,-0.00047121567796574456,0.1034959261655965,2.5642052103490823e-05,-0.00021396668606299808,0.02425315554185895,0.9757468444581411,0.2539376926000061,0.7460623073999932
Mines,1742.2969673178773,-3480.5939346357545,-3470.5661036861334,0.0007181153473628378,0.9733365662392938,0.0025549962450734315,0.0015273758436634022,0.028426087128159132,True,1831.538289143569,-3647.076578287138,-3606.965254488654,-0.0020146537591106766,0.0030606445009842085,0.9192188407074254,0.9983530709921099,0.0009115521219172643,0.0037842394772333193,0.9861702504032658,0.010799449756791469,0.001909760014401497,0.0025916982582654484,0.03348509398571247,0.05267320922974601,0.00010407044634719992,0.00024316345904490697,0.007959423583056749,0.005298089233766006,-1.0522669700296539e-06,-6.112705753753921e-05,9.771522492106518e-09,-1.7836064735429257e-05,0.07934529673376507,0.9206547032662349,0.43354423550674687,0.5664557644932562
Coal ,1187.4085563311328,-2370.8171126622656,-2360.7892817126444,-0.0007307803290634248,1.288903562845617,0.006931328469709463,0.0025157010132323197,0.04681986852628237,True,1427.6101050843354,-2839.2202101686707,-2799.1088863701866,-0.0038690038657826415,0.010510298894580104,1.0812126706793674,1.6680899737712547,0.002494953184333839,0.019077053957212632,0.9901195996424604,0.030204247710264094,0.002042280229844393,0.00902171818222914,0.04827470142043464,0.33457747913474584,0.000215470290755651,0.0038601703823471158,0.005363056734736478,0.018603995303735486,-3.0750013818074596e-06,0.000938209853074561,4.731955792594155e-07,-4.880979769899294e-05,0.6547055098422718,0.34529449015772806,0.7504540895332067,0.2495459104667928
Oil  ,2015.036719225653,-4026.073438451306,-4016.045607501685,0.0015486201635509177,0.8710629422760796,0.0015644144988958815,0.0011951617919210885,0.02224323068244274,True,2015.0367192256533,-4014.0734384513066,-3973.9621146528225,0.001548620163550916,0.001548620163550916,0.8710629422760798,0.8710629422760798,0.0015616008037539824,0.0015616008037539824,0.5,0.5,0.001183896908581427,0.001183896908596262,0.03122257690416203,0.03122257690413924,8.317405023256634e-05,8.317404790916364e-05,2.8805031731820766e-13,2.465755006330943e-13,1.4016118901662111e-06,0.0009748493085355999,6.917922438793561e-09,-7.094583261057911e-26,0.5,0.5,0.5,0.5
Util ,2109.9381221544145,-4215.876244308829,-4205.848413359208,0.0009528563068747396,0.7739124932580455,0.0013189364015348997,0.001097394329814576,0.020423674344905704,True,2263.0641805567066,-4510.128361113413,-4470.0170373149285,-0.0001938830843543572,0.0026009110381842713,0.8930974324400932,0.6047054684656733,0.0031244814913350383,0.0006519614557505505,0.9859286792870093,0.004104750088430939,0.0033712031512837227,0.0009210564341970456,0.05146025342846125,0.0270862083516987,0.0003072189952406963,3.833133854356179e-05,0.006673827060820625,0.003044733618589576,7.866750345615892e-08,-4.352214944121643e-05,1.2834817073126428e-09,-6.062192568905218e-06,0.003842063121798583,0.9961579368782014,0.2455256615233375,0.754474338476664
Telcm,2347.31754203438,-4690.63508406876,-4680.607253119139,0.001417660922557623,0.6618938136455292,0.0008606083575896406,0.0008864486118287858,0.016497750425358886,True,2439.713357269191,-4863.426714538382,-4823.315390739897,0.0017127610770803377,0.003355232620930979,0.7330239039601814,0.3241109541063562,0.0009827410575689705,0.0001665504420528443,0.9812537422140852,0.05951421260711282,0.0011454924056771036,0.0014056878457078428,0.05431650012300591,0.028168004304309897,8.17107414064687e-05,9.777643404772209e-05,0.018542373862234812,0.02713516352172471,-4.0046575308515575e-07,0.000384154742847977,4.3426950909146245e-09,-0.0003368523818788431,0.9667718932399548,0.033228106760045104,0.7644870811155478,0.23551291888445372
PerSv,1342.5723737206458,-2681.1447474412917,-2671.1386165237186,-0.0005543430191189264,1.0867808923419608,0.005107230954651172,0.0021707160632336484,0.040238704899342045,True,1606.0767340615023,-3196.1534681230046,-3156.128944452713,-0.0003161261733704548,0.000478629970756295,0.9608922541547189,1.2331724457886895,0.0017576610503377142,0.018697720441350454,0.9812517859775588,0.07924708690291754,0.0018806477115993168,0.01098858903108592,0.04903785007559076,0.18790777206008913,0.000271846667845725,0.007890894006009978,0.008524003055583498,0.037904256648623603,-7.980698248429035e-06,-0.0009909952782070932,1.7615546812717845e-06,-5.233058425131727e-05,0.9900260848751379,0.009973915124862072,0.8060055722811972,0.1939944277188021
BusSv,1736.7951473745256,-3469.5902947490513,-3459.56246379943,0.001252944885279494,0.8910172976951227,0.0025804043555908993,0.0015349515358755754,0.028567078808610775,True,2223.375496197718,-4430.750992395436,-4390.639668596951,0.0002738886847472584,0.0015308852613144601,1.0741146161664532,0.6437096817370291,0.0006708050091663568,0.014853839853446883,0.9920782263333388,0.0569283123083794,0.0008927392026383248,0.012398328536807366,0.05512647398279318,0.10333261768166407,7.525037460964777e-05,0.005057509600080902,0.013496789336149064,0.10497185728144091,-1.2509094231531196e-06,-0.002731971167671197,6.779575827492071e-09,-0.001319213959010713,0.9960146282334759,0.003985371766524093,0.8747877238166073,0.12521227618339204
